date,holiday,reason
01/01/26,New Year's Day,
02/01/26,Additional New Year Holiday,
16/02/26,Lunar NY Eve 1,
17/02/26,Lunar New Year 1,
18/02/26,Lunar New Year 2,
19/02/26,Lunar New Year 3,
20/02/26,Lunar New Year 4,
23/02/26,Lunar New Year 7,
06/04/26,Ching Ming Festival Holiday,
01/05/26,Labour Day 1,
04/05/26,Labour Day Holiday 2,
05/05/26,Labour Day Holiday 3,
19/06/26,Dragon Boat Festival (Tuen Ng Day)*,
25/09/26,Mid-autumn Festival*,
01/10/26,National Day 1,
02/10/26,National Day 2,
05/10/26,National Day 5,
06/10/26,National Day 6,
07/10/26,National Day 7,
01/01/25,New Year's Day,
28/01/25,CNY,
29/01/25,CNY,
01/02/25,CNY,
02/02/25,CNY,
03/02/25,CNY,
04/02/25,CNY,
04/04/25,Qingming Festival,
01/05/25,Chinese Labor Day,
02/05/25,Chinese Labor Day,
05/05/25,Chinese Labor Day,
02/06/25,Dragon Boat,
01/10/25,China National Day,
02/10/25,China National Day,
03/10/25,China National Day,
06/10/25,China National Day,
07/10/25,China National Day,
08/10/25,China National Day,
