weight,name_en,ticker,exch,price,shs_held,mkt_value
0.2357,SANY HEAVY ENERGY CO LTD-A,688349,SHAX,24.89,44800.0000,1115072.0000
0.3601,XIAMEN AMOYTOP BIOTECH CO -A (SWAP),688278,SHAX,57.16,29800.0000,1703368.0000
0.4372,GALAXYCORE INC-A,688728,SHAX,14.5,142613.0000,2067888.5000
0.4927,ZHUZHOU CRRC TIMES ELECTRI-A,688187,SHAX,48.86,47700.0000,2330622.0000
0.4968,AVIC CHENGDU UAS CO LTD-A,688297,SHAX,47.61,49360.0000,2350029.6000
0.4992,EVERDISPLAY OPTRONICS SHAN-A,688538,SHAX,2.34,1009200.0000,2361528.0000
0.5075,CHINA RAILWAY SIGNAL & COM-A,688009,SHAX,5.08,472600.0000,2400808.0000
0.5091,MGI TECH CO LTD-A (SWAP),688114,SHAX,52.7,45700.0000,2408390.0000
0.5641,XINJIANG DAQO NEW ENERGY C-A,688303,SHAX,22.69,117600.0000,2668344.0000
0.591,ACM RESEARCH SHANGHAI I-A,688082,SHAX,160.21,17450.0000,2795664.5000
0.6621,CATHAY BIOTECH INC-A,688065,SHAX,47.6,65793.0000,3131746.8000
0.6845,SHANGHAI FRIENDESS ELECTRO-A,688188,SHAX,153.14,21142.0000,3237685.8800
0.7627,APT MEDICAL INC-A,688617,SHAX,232.61,15510.0000,3607781.1000
0.8172,BESTECHNIC SHANGHAI CO LTD-A (SWAP),688608,SHAX,178.96,21600.0000,3865536.0000
0.8289,CSI SOLAR CO LTD-A,688472,SHAX,14.5,270400.0000,3920800.0000
0.8483,SICHUAN BIOKIN PHARMACEUTI-A (SWAP),688506,SHAX,265.75,15100.0000,4012825.0000
0.9038,SICC CO LTD-A,688234,SHAX,108.66,39344.0000,4275119.0400
0.9188,GUOBO ELECTRONICS CO LTD-A,688375,SHAX,133.39,32581.0000,4345979.5900
0.9541,NINEBOT LTD-CDR ADR,689009,SHAX,43.04,104856.0000,4513002.2400
0.969,TRINA SOLAR CO LTD-A,688599,SHAX,17.8,257500.0000,4583500.0000
0.97,BEIJING ROBOROCK TECHNOLOG-A,688169,SHAX,120.87,37960.0000,4588225.2000
0.9751,SMARTSENS TECHNOLOGY SHANG-A,688213,SHAX,89.52,51527.0000,4612697.0400
0.9885,SHANGHAI ALLIST PHARMACEUT-A,688578,SHAX,94.46,49500.0000,4675770.0000
0.9989,ASR MICROELECTRONICS CO LT-A,688220,SHAX,102.94,45900.0000,4724946.0000
1.03,SHENGYI ELECTRONICS CO LTD-A,688183,SHAX,106.85,45600.0000,4872360.0000
1.0464,GEOVIS TECHNOLOGY CO LTD-A,688568,SHAX,66.8,74100.0000,4949880.0000
1.1092,JINKO SOLAR CO LTD-A,688223,SHAX,7.15,733800.0000,5246670.0000
1.1947,WESTERN SUPERCONDUCTING TE-A,688122,SHAX,67.84,83300.0000,5651072.0000
1.1959,CHINA RESOURCES MICROELECT-A,688396,SHAX,58.14,97300.0000,5657022.0000
1.2806,SHENZHEN TRANSSION HOLDING-A,688036,SHAX,57.42,105500.0000,6057810.0000
1.2939,NEXCHIP SEMICONDUCTOR CORP-A,688249,SHAX,33.28,183905.0000,6120358.4000
1.3485,LOONGSON TECHNOLOGY CORP L-A,688047,SHAX,173.82,36697.0000,6378672.5400
1.3559,UNITED NOVA TECHNOLOGY CO-A,688469,SHAX,6.96,921500.0000,6413640.0000
1.4109,QUANTUMCTEK CO LTD-A,688027,SHAX,590.6,11300.0000,6673780.0000
1.4645,SUZHOU CENTEC COMMUNICATIO-A,688702,SHAX,307.88,22500.0000,6927300.0000
1.4711,AMLOGIC SHANGHAI INC-A,688099,SHAX,112.7,61747.0000,6958886.9000
1.557,SKYVERSE TECHNOLOGY CO LTD-A,688361,SHAX,191.3,38500.0000,7365050.0000
1.7079,NATIONAL SILICON INDUSTRY -A (SWAP),688126,SHAX,22.99,351400.0000,8078686.0000
1.8798,HWATSING TECHNOLOGY CO LTD-A (SWAP),688120,SHAX,195.94,45382.0000,8892149.0800
1.9971,SUPCON TECHNOLOGY CO LTD-A,688777,SHAX,81.44,116000.0000,9447040.0000
10.4036,HYGON INFORMATION TECHNOLO-A (SWAP),688041,SHAX,323.28,152227.0000,49211944.5600
12.8508,CAMBRICON TECHNOLOGIES-A,688256,SHAX,1182.53,51405.0000,60787954.6500
2.2206,SHANGHAI UNITED IMAGING HE-A,688271,SHAX,115.94,90600.0000,10504164.0000
2.4257,BEIJING KINGSOFT OFFICE SO-A,688111,SHAX,271.26,42300.0000,11474298.0000
3.0183,PIOTECH INC-A,688072,SHAX,463.05,30834.0000,14277683.7000
3.675,BIWIN STORAGE TECHNOLOGY C-A,688525,SHAX,290.45,59852.0000,17384013.4000
3.7331,VERISILICON MICROELECTRONI-A,688521,SHAX,262.0,67400.0000,17658800.0000
5.6215,ADVANCED MICRO-FABRICATION-A,688012,SHAX,370.0,71869.0000,26591530.0000
8.3398,SEMICONDUCTOR MANUFACTURIN-A,688981,SHAX,120.31,327900.0000,39449649.0000
8.3492,MONTAGE TECHNOLOGY CO LTD-A,688008,SHAX,210.27,187827.0000,39494383.2900
