stock_code,cn_name,cn1,en
688001,华兴源创,江苏省,HXYC
688002,睿创微纳,山东省,RCWN
688003,天准科技,江苏省,TZKJ
688004,博汇科技,北京市,BHKJ
688005,容百科技,浙江省,RBKJ
688006,杭可科技,浙江省,HKKJ
688007,光峰科技,广东省,GFKJ
688008,澜起科技,上海市,LQKJ
688009,中国通号,北京市,ZGTH
688010,福光股份,福建省,FGGF
688011,新光光电,黑龙江省,XGGD
688012,中微公司,上海市,ZWGS
688013,天臣医疗,江苏省,TCYL
688015,交控科技,北京市,JKKJ
688016,心脉医疗,上海市,XMYL
688017,绿的谐波,江苏省,LDXB
688018,乐鑫科技,上海市,LXKJ
688019,安集科技,上海市,AJKJ
688020,方邦股份,广东省,FBGF
688021,奥福科技,山东省,AFKJ
688022,ST瀚川,江苏省,STHC
688023,安恒信息,浙江省,AHXX
688025,杰普特,广东省,JPT
688026,洁特生物,广东省,JTSW
688027,国盾量子,安徽省,GDLZ
688028,沃尔德,北京市,WED
688029,南微医学,江苏省,NWYX
688030,山石网科,江苏省,SSWK
688031,星环科技,上海市,XHKJ
688032,禾迈股份,浙江省,HMGF
688033,*ST天宜,北京市,STTY
688035,德邦科技,山东省,DBKJ
688036,传音控股,广东省,CYKG
688037,芯源微,辽宁省,XYW
688038,中科通达,湖北省,ZKTD
688039,当虹科技,浙江省,DHKJ
688041,海光信息,天津市,HGXX
688045,必易微,广东省,BYW
688046,药康生物,江苏省,YKSW
688047,龙芯中科,北京市,LXZK
688048,长光华芯,江苏省,CGHX
688049,炬芯科技,广东省,JXKJ
688050,爱博医疗,北京市,ABYL
688051,佳华科技,北京市,JHKJ
688052,纳芯微,江苏省,NXW
688053,ST思科瑞,四川省,STSKR
688055,龙腾光电,江苏省,LTGD
688056,莱伯泰科,北京市,LBTK
688057,金达莱,江西省,JDL
688058,宝兰德,北京市,BLD
688059,华锐精密,湖南省,HRJM
688060,云涌科技,江苏省,YYKJ
688061,灿瑞科技,上海市,CRKJ
688062,迈威生物,上海市,MWSW
688063,派能科技,上海市,PNKJ
688065,凯赛生物,上海市,KSSW
688066,*ST航图,河南省,STHT
688067,爱威科技,湖南省,AWKJ
688068,热景生物,北京市,RJSW
688069,德林海,江苏省,DLH
688070,纵横股份,四川省,ZHGF
688071,华依科技,上海市,HYKJ
688072,拓荆科技,辽宁省,TJKJ
688073,毕得医药,上海市,BDYY
688075,安旭生物,浙江省,AXSW
688076,ST诺泰,江苏省,STNT
688077,大地熊,安徽省,DDX
688078,龙软科技,北京市,LRKJ
688079,美迪凯,浙江省,MDK
688080,映翰通,北京市,YHT
688081,兴图新科,湖北省,XTXK
688082,盛美上海,上海市,SMSH
688083,中望软件,广东省,ZWRJ
688084,晶品特装,北京市,JPTZ
688085,三友医疗,上海市,SYYL
688087,英科再生,山东省,YKZS
688088,虹软科技,浙江省,HRKJ
688089,嘉必优,湖北省,JBY
688090,瑞松科技,广东省,RSKJ
688091,上海谊众,上海市,SHYZ
688092,爱科科技,浙江省,AKKJ
688093,世华科技,江苏省,SHKJ
688095,福昕软件,福建省,FXRJ
688096,京源环保,江苏省,JYHB
688097,博众精工,江苏省,BZJG
688098,申联生物,上海市,SLSW
688099,晶晨股份,上海市,JCGF
688100,威胜信息,湖南省,WSXX
688101,三达膜,陕西省,SDM
688102,斯瑞新材,陕西省,SRXC
688103,国力电子,江苏省,GLDZ
688105,诺唯赞,江苏省,NWZ
688106,金宏气体,江苏省,JHQT
688107,安路科技,上海市,ALKJ
688108,赛诺医疗,天津市,SNYL
688109,品茗科技,浙江省,PMKJ
688110,东芯股份,上海市,DXGF
688111,金山办公,北京市,JSBG
688112,鼎阳科技,广东省,DYKJ
688113,联测科技,江苏省,LCKJ
688114,华大智造,广东省,HDZZ
688115,思林杰,广东省,SLJ
688116,天奈科技,江苏省,TNKJ
688117,圣诺生物,四川省,SNSW
688118,普元信息,上海市,PYXX
688119,中钢洛耐,河南省,ZGLN
688120,华海清科,天津市,HHQK
688121,卓然股份,上海市,ZRGF
688122,西部超导,陕西省,XBCD
688123,聚辰股份,上海市,JCGF
688125,安达智能,广东省,ADZN
688126,沪硅产业,上海市,HGCY
688127,蓝特光学,浙江省,LTGX
688128,中国电研,广东省,ZGDY
688129,东来技术,上海市,DLJS
688130,晶华微,浙江省,JHW
688131,皓元医药,上海市,HYYY
688132,邦彦技术,广东省,BYJS
688133,泰坦科技,上海市,TTKJ
688135,利扬芯片,广东省,LYXP
688136,科兴制药,山东省,KXZY
688137,近岸蛋白,江苏省,JADB
688138,清溢光电,广东省,QYGD
688139,海尔生物,山东省,HESW
688141,杰华特,浙江省,JHT
688143,长盈通,湖北省,CYT
688146,中船特气,河北省,ZCTQ
688147,微导纳米,江苏省,WDNM
